Messier Number	NGC/IC Number	Name	Type	Magnitude	Dimensions	RA	Dec
M97	NGC 3587	Owl Nebula	Planetary nebula	9.9	3.4' x 3.3'	11h 14m 47.7s	+55deg 01' 08.5"
M98	NGC 4192		Spiral galaxy	10.1	9.8' x 2.8'	12h 13m 48.3s	+14deg 54' 01.7"
M99	NGC 4254	St. Catherine's Wheel	Spiral galaxy	9.9	5.4' x 4.7'	12h 18m 49.6s	+14deg 24' 59"
M100	NGC 4321	Mirror Galaxy	Spiral galaxy	9.3	7.4' x 6.3'	12h 22m 54.9s	+15deg 49' 21"
M101	NGC 5457	Pinwheel Galaxy	Spiral galaxy	7.9	28.8' x 26.9'	14h 03m 12.6s	+54deg 20' 57"
M102	NGC 5866	Spindle Galaxy	Lenticular galaxy	9.9	4.7' x 1.9'	15h 06m 29.5s	+55deg 45' 48"
M103	NGC 581		Open cluster	7.4	6'	01h 33.2m	+60deg 42'
M104	NGC 4594	Sombrero Galaxy	Spiral galaxy	8.0	9' x 4'	12h 39m 59.4s	-11deg 37' 23"
M105	NGC 3379		Elliptical galaxy	9.3	5.4' x 4.8'	10h 47m 49.6s	+12deg 34' 54"
M106	NGC 4258		Spiral galaxy	8.4	18.6' x 7.2'	12h 18m 57.5s	+47deg 18' 14"
M107	NGC 6171	Crucifix Cluster	Globular cluster	7.9	10'	16h 32m 31.9s	-13deg 03' 13.6"
M108	NGC 3556	Surfboard Galaxy	Barred Spiral galaxy	10.0	8.7' x 2.2'	11h 11m 31.0s	+55deg 40' 27"
M109	NGC 3992	Vacuum Cleaner Galaxy	Barred Spiral galaxy	9.8	7.6' x 4.7'	11h 57m 36.0s	+53deg 22' 28"
M110	NGC 205	Andromeda Satellite #2	Dwarf elliptical galaxy	8.5	21.9' x 11.0'	00h 40m 22.1s	+41deg 41' 07"
