hip,bayer,con
19990,Ome-2,Tau
20020,The,Ret
20042,Ups-4,Eri
20049,Del,Men
20205,Gam,Tau
20250,Phi,Tau
20297,Nu,Men
20384,Eta,Ret
20430,Chi,Tau
20455,Del-1,Tau
20507,Xi,Eri
20542,Del-2,Tau
20635,Kap-1,Tau
20641,Kap-2,Tau
20648,Del-3,Tau
20711,Ups,Tau
20732,Pi,Tau
20885,The-1,Tau
20889,Eps,Tau
20894,The-2,Tau
21060,Del,Cae
21248,Ups-1,Eri
21273,Rho,Tau
21281,Alp,Dor
21393,Ups-2,Eri
21421,Alp,Tau
21444,Nu,Eri
21673,Sig-1,Tau
21683,Sig-2,Tau
21770,Alp,Cae
21861,Bet,Cae
21881,Tau,Tau
21914,Lam,Pic
21949,Mu,Men
22040,Kap,Dor
22109,Mu,Eri
22280,Zet,Cae
22449,Pi-3,Ori
22509,Pi-2,Ori
22531,Iot,Pic
22534,Iot,Pic
22549,Pi-4,Ori
22667,Omi-1,Ori
22701,Ome,Eri
22783,Alp,Cam
22797,Pi-5,Ori
22845,Pi-1,Ori
22871,Eta,Men
22957,Omi-2,Ori
23015,Iot,Aur
23123,Pi-6,Ori
23148,Xi,Men
23179,Ome,Aur
23364,Psi,Eri
23416,Eps,Aur
23453,Zet,Aur
23467,Bet,Men
23482,Eta-1,Pic
23497,Iot,Tau
23522,Bet,Cam
23595,Gam-1,Cae
23596,Gam-2,Cae
23649,Eta-2,Pic
23685,Eps,Lep
23693,Zet,Dor
23767,Eta,Aur
23875,Bet,Eri
23972,Lam,Eri
24244,Iot,Lep
24305,Mu,Lep
24327,Kap,Lep
24331,Rho,Ori
24340,Mu,Aur
24372,The,Dor
24436,Bet,Ori
24608,Alp,Aur
24659,Omi,Col
24674,Tau,Ori
24813,Lam,Aur
24829,Zet,Pic
24845,Lam,Lep
24873,Nu,Lep
25048,Rho,Aur
25098,Kap,Pic
25281,Eta,Ori
25292,Sig,Aur
25302,Psi-1,Ori
25303,The,Pic
25336,Gam,Ori
25428,Bet,Tau
25429,Lam,Dor
25473,Psi-2,Ori
25541,Phi,Aur
25606,Bet,Lep
25859,Eps,Col
25918,Gam,Men
25923,Ups,Ori
25930,Del,Ori
25984,Chi,Aur
25985,Alp,Lep
26069,Bet,Dor
26176,Phi-1,Ori
26207,Lam,Ori
26220,The-1,Ori
26221,The-1,Ori
26224,The-1,Ori
26235,The-2,Ori
26241,Iot,Ori
26264,Iot,Men
26311,Eps,Ori
26366,Phi-2,Ori
26394,Pi,Men
26412,Nu-1,Col
26451,Zet,Tau
26460,Nu-2,Col
26549,Sig,Ori
26594,Ome,Ori
26634,Alp,Col
26727,Zet,Ori
27072,Gam,Lep
27100,Del,Dor
27196,Omi,Aur
27204,Mu,Col
27288,Zet,Lep
27321,Bet,Pic
27366,Kap,Ori
27369,Lam,Men
27483,Tau,Aur
27530,Gam,Pic
27534,Eps,Dor
27566,Kap,Men
27628,Bet,Col
27639,Ups,Aur
27654,Del,Lep
27673,Nu,Aur
27810,Lam,Col
27913,Chi-1,Ori
27949,Xi,Aur
27989,Alp,Ori
28010,Xi,Col
28098,Sig,Col
28103,Eta,Lep
28199,Gam,Col
28328,Eta,Col
28358,Del,Aur
28360,Bet,Aur
28380,The,Aur
28404,Pi,Aur
28614,Mu,Ori
28716,Chi-2,Ori
28910,The,Lep
28909,Eta-1,Dor
28957,Pi-1,Col
29034,The,Col
29038,Nu,Ori
29064,Pi-2,Col
29134,Nu,Dor
29271,Alp,Men
29276,Del,Pic
29353,Eta-2,Dor
29426,Xi,Ori
29651,Gam,Mon
29655,Eta,Gem
29696,Kap,Aur
29807,Kap,Col
30122,Zet,CMa
30277,Del,Col
