hip,bayer,con
96757,Alp,Sge
96837,Bet,Sge
96957,Chi,Aql
97139,Psi,Aql
97165,Del,Cyg
97229,Ups,Aql
97278,Gam,Aql
97365,Del,Sge
97421,Nu,Tel
97433,Eps,Dra
97473,Pi,Aql
97496,Zet,Sge
97629,Chi,Cyg
97649,Alp,Aql
97675,Omi,Aql
97804,Eta,Aql
97938,Xi,Aql
98032,Iot,Sgr
98036,Bet,Aql
98055,Psi,Cyg
98066,Ome,Sgr
98103,Phi,Aql
98110,Eta,Cyg
98337,Gam,Sge
98412,The-1,Sgr
98421,The-2,Sgr
98478,Mu-1,Pav
98495,Eps,Pav
98624,Mu-2,Pav
98702,Rho,Dra
98823,Tau,Aql
98920,Eta,Sge
99120,Xi,Tel
99240,Del,Pav
99255,Kap,Cep
99352,The,Sge
99473,The,Aql
99529,Xi-1,Cap
99572,Xi-2,Cap
99742,Rho,Aql
100027,Alp-1,Cap
100064,Alp-2,Cap
100195,Sig,Cap
100310,Nu,Cap
100345,Bet,Cap
100453,Gam,Cyg
100469,Kap-1,Sgr
100591,Kap-2,Sgr
100751,Alp,Pav
100881,Pi,Cap
101027,Rho,Cap
101093,The,Cep
101120,Omi,Cap
101123,Omi,Cap
101138,Ome-1,Cyg
101243,Ome-2,Cyg
101421,Eps,Del
101477,Nu,Mic
101483,Eta,Del
101589,Zet,Del
101612,Phi-1,Pav
101769,Bet,Del
101772,Alp,Ind
101773,Rho,Pav
101800,Iot,Del
101882,The,Del
101916,Kap,Del
101923,Tau,Cap
101958,Alp,Del
101983,Phi-2,Pav
101984,Ups,Cap
102098,Alp,Cyg
102125,Mu-2,Oct
102157,Ups,Pav
102162,Mu-1,Oct
102281,Del,Del
102333,Eta,Ind
102395,Bet,Pav
102422,Eta,Cep
102485,Psi,Cap
102488,Eps,Cyg
102531,Gam-1,Del
102532,Gam-2,Del
102589,Lam,Cyg
102618,Eps,Aqr
102693,Iot,Mic
102773,Sig,Pav
102790,Zet,Ind
102831,Alp,Mic
102950,Iot,Ind
102978,Ome,Cap
102989,Bet,Mic
103045,Mu,Aqr
103227,Bet,Ind
103413,Nu,Cyg
103569,Eps,Equ
103738,Gam,Mic
103882,Zet,Mic
104019,Eta,Cap
104043,Alp,Oct
104060,Xi,Cyg
104085,Mu,Ind
104139,The,Cap
104148,Del,Mic
104177,Eta,Mic
104365,Chi,Cap
104382,Sig,Oct
104459,Nu,Aqr
104521,Gam,Equ
104732,Zet,Cyg
104755,Omi,Pav
104858,Del,Equ
104887,Tau,Cyg
104963,Phi,Cap
104987,Alp,Equ
105102,Sig,Cyg
105138,Ups,Cyg
105140,Eps,Mic
105199,Alp,Cep
105319,The,Ind
105382,The-1,Mic
105515,Iot,Cap
105570,Bet,Equ
105696,The-2,Mic
105841,Gam,Ind
105858,Gam,Pav
105881,Zet,Cap
106032,Bet,Cep
106278,Bet,Aqr
106327,Xi,Gru
106481,Rho,Cyg
106723,Eps,Cap
106786,Xi,Aqr
106985,Gam,Cap
107089,Nu,Oct
107136,Pi-1,Cyg
107188,Kap,Cap
107259,Mu,Cep
107310,Mu-1,Cyg
107315,Eps,Peg
107354,Kap,Peg
107380,Iot,PsA
107418,Nu,Cep
107517,Lam,Cap
107533,Pi-2,Cyg
107556,Del,Cap
107608,The,PsA
107835,Omi,Ind
107843,Lam,Oct
108036,Mu,Cap
108085,Gam,Gru
108281,Pi,Ind
108431,Del,Ind
108478,Kap-1,Ind
108661,Eta,PsA
108870,Eps,Ind
108874,Omi,Aqr
108917,Xi,Cep
109068,Nu,Peg
109074,Alp,Aqr
109081,Kap-2,Ind
109111,Lam,Gru
109139,Iot,Aqr
109176,Iot,Peg
109268,Alp,Gru
109285,Mu,PsA
109289,Ups,PsA
109352,Pi-1,Peg
109410,Pi-2,Peg
109422,Tau,PsA
109427,The,Peg
109492,Zet,Cep
109556,Lam,Cep
109789,Lam,PsA
109857,Eps,Cep
109908,Mu-1,Gru
109973,Mu-2,Gru
110003,The,Aqr
110078,Psi,Oct
110130,Alp,Tuc
110256,Eps,Oct
110273,Rho,Aqr
110395,Gam,Aqr
110478,Pi-1,Gru
110506,Pi-2,Gru
110538,Bet,Lac
110618,Nu,Ind
110672,Pi,Aqr
110787,Rho-1,Cep
110838,Del,Tuc
110936,Nu,Gru
110960,Zet-1,Aqr
110991,Del,Cep
110997,Del-1,Gru
111043,Del-2,Gru
111056,Rho-2,Cep
111123,Sig,Aqr
111138,Zet,PsA
111169,Alp,Lac
111188,Bet,PsA
111196,Ups,Oct
111310,Nu,Tuc
111449,Ups,Aqr
111497,Eta,Aqr
111594,Sig-1,Gru
111643,Sig-2,Gru
111710,Kap,Aqr
111954,Eps,PsA
112029,Zet,Peg
112051,Omi,Peg
112122,Bet,Gru
112158,Eta,Peg
112203,Rho,Gru
112374,Eta,Gru
112405,Bet,Oct
112440,Lam,Peg
112447,Xi,Peg
112542,Tau-1,Aqr
112623,Eps,Gru
112716,Tau-2,Aqr
112724,Iot,Cep
112748,Mu,Peg
112781,Xi,Oct
112935,Sig,Peg
112948,Gam,PsA
112961,Lam,Aqr
113044,Tau-1,Gru
113136,Del,Aqr
113137,Rho,Ind
113186,Rho,Peg
113246,Del,PsA
113307,Tau-3,Gru
113368,Alp,PsA
113638,Zet,Gru
113726,Omi,And
113860,Pi,PsA
113881,Bet,Peg
113889,Bet,Psc
113957,Kap,Gru
113963,Alp,Peg
114131,The,Gru
114132,Ups,Gru
114222,Pi,Cep
114421,Iot,Gru
114724,Phi,Aqr
114855,Psi-1,Aqr
114939,Chi,Aqr
114971,Gam,Psc
114996,Gam,Tuc
115033,Psi-2,Aqr
115054,Phi,Gru
115088,Omi,Cep
115102,Gam,Scl
115115,Psi-3,Aqr
115250,Tau,Peg
115623,Ups,Peg
115713,Omi,Gru
115738,Kap,Psc
115830,The,Psc
115836,Tau,Oct
116231,Bet,Scl
116389,Iot,Phe
116584,Lam,And
116631,Iot,And
116727,Gam,Cep
116737,The,Phe
116758,Ome-1,Aqr
116771,Iot,Psc
116805,Kap,And
116820,Mu,Scl
116928,Lam,Psc
116971,Ome-2,Aqr
117221,Psi,And
117301,Tau,Cas
117315,Sig,Phe
117452,Del,Scl
117689,Gam-1,Oct
117718,Phi,Peg
117863,Rho,Cas
118114,Gam-2,Oct
118121,Eta,Tuc
118131,Psi,Peg
118234,Pi,Phe
118243,Sig,Cas
118268,Ome,Psc
118322,Eps,Tuc
