messier,type,ra,dec,mag
M1,Supernova remnant,05h 34m 31.9s,+22deg 00' 52.2",8.4
M2,Globular cluster,21h 33m 27.0s,-00deg 49' 23.7",6.5
M3,Globular cluster,13h 42m 11.6s,+28deg 22' 38.2",6.2
M4,Globular cluster,16h 23m 35.2s,-26deg 31' 32.7",5.6
M5,Globular cluster,15h 18m 33.2s,+02deg 04' 51.7",5.6
M6,Open cluster,17h 40.1m,-32deg 13',4.2
M7,Open cluster,17h 53m 51.2s,-34deg 47' 34",3.3
M8,Nebula with cluster,18h 03m 37s,-24deg 23' 12",6.0
M9,Globular cluster,17h 19m 11.8s,-18deg 30' 58.5",7.7
M10,Globular cluster,16h 57m 8.9s,-04deg 05' 58.1",6.4
M11,Open cluster,18h 51.1m,-06deg 16',5.8
M12,Globular cluster,16h 47m 14.2s,-01deg 56' 54.7",6.7
M13,Globular cluster,16h 41m 41.2s,+36deg 27' 35.5",5.8
M14,Globular cluster,17h 37m 36.2s,-03deg 14' 45.3",7.6
M15,Globular cluster,21h 29m 58.3s,+12deg 10' 01.2",6.2
M16,H II region nebula with cluster,18h 18m 48s,-13deg 49',6.0
M17,H II region nebula with cluster,18h 20m 26s,-16deg 10' 36",6.0
M18,Open cluster,18h 19.9m,-17deg 08',7.5
M19,Globular cluster,17h 02m 37.7s,-26deg 16' 04.6",6.8
M20,H II region nebula with cluster,18h 02m 23s,-23deg 01' 48",6.3
M21,Open cluster,18h 04.6m,-22deg 30',5.9
M22,Globular cluster,18h 36m 23.9s,-23deg 54' 17.1",5.1
M23,Open cluster,17h 56.8m,-19deg 01',5.5
M24,Milky Way star cloud,18h 17m,-18deg 33',4.5
M25,Open cluster,18h 31.6m,-19deg 15',4.6
M26,Open cluster,18h 45.2m,-09deg 24',8.0
M27,Planetary nebula,19h 59m 36.3s,+22deg 43' 16.1",7.4
M28,Globular cluster,18h 24m 32.9s,-24deg 52' 11.4",6.8
M29,Open cluster,20h 23m 56s,+38deg 31' 24",7.1
